1. サラーフッディーン（在位：1169年?-?1193年）
2. アル＝アジーズ（在位：1193年 -?1198年）
3. アル＝マンスール・ムハンマド1世（在位：1198年 -?1200年）
4. アル＝アーディル（在位：1200年 -?1218年）
5. アル＝カーミル（在位：1218年 -?1238年）
6. アル＝アーディル2世（在位：1238年 -?1240年）
7. サーリフ（在位：1240年 -?1249年）
8. トゥーラーン・シャー（在位：1249年 -?1250年）
9. アル＝アシュラフ・ムーサー（在位：1250年?-?1254年）
1. サラーフッディーン（在位：1174年?-?1193年）
2. アル＝アフダル（在位：1193年 -?1196年）
3. アル＝アーディル（在位：1196年 -?1218年）
4. アル＝ムアッザム（在位：1218年 -?1227年）
5. アン＝ナースィル・ダーウード（在位：1227年 -?1229年）
6. アル＝アシュラフ（在位：1229年 -?1237年）
7. アッ＝サーリフ・イスマーイール（在位：1237年 -?1238年）
8. アル＝カーミル（在位：1238年）
9. アル＝アーディル2世（在位：1238年 -?1239年）
10. アッ＝サーリフ・ナジュムッディーン・アイユーブ（在位：1239年）
11. アッ＝サーリフ・イスマーイール（復位・在位：1239年 -?1245年）
12. アッ＝サーリフ・ナジュムッディーン・アイユーブ（復位・在位：1245年 -?1249年）
13. トゥーラーン・シャー（在位：1249年 -?1250年）
14. アン＝ナースィル・ユースフ（在位1250年 -?1260年）
1. アル＝ムザッファル・ウマル（在位：1179年- - 1191年、サラーフッディンの兄弟シャーハンシャーの息子）
2. アル＝マンスール・ムハンマド（在位：1191年 - 1222年）
3. アン＝ナースィル・キリジ・アルスラーン（在位：1222年 - 1230年）
4. アル＝ムザッファル・マフムード（在位：1230年 - 1245年）
5. アル＝マンスール・ムハンマド2世（在位：1245年 - 1284年）
6. アル＝マンスール・マフムード
7. アル＝ムアイヤド・アブル＝フィダーウ（地理学者として有名）
8. アル＝アフダル・ムハンマド
1. トゥーラーン・シャー（在位：1174年 - 1181年、サラーフッディーンの兄）
2. トゥグ＝ティキーン（在位：1181年 - 1202年、上記のトゥーラーン・シャーとサラーフッディーンの兄弟）
3. アル＝ムイッズ・イスマーイール（在位：1202年 - 1203年、トゥグ＝ティキーンの息子）
4. アン＝ナースィル（在位：1203年 - 1203年、アル＝ムイッズ・イスマーイールの兄弟）
5. ガーズィー・イブン・ジュバイル（在位：1203年 - 1214年）
6. スライマーン（在位：1214年 - 1216年、トゥーラーン・シャーの子タキーユッディーン・ウマルの子）
7. アル＝マスウード（在位：1216年 - 1229年、エジプトのスルターン・アル＝カーミルの息子）
8. ユースフ（在位：1229年 - 1240年）
1. テイスペス
2. キュロス1世
3. カンビュセス1世
4. キュロス2世（紀元前550年 - 紀元前529年）
5. カンビュセス2世（紀元前529年 - 紀元前521年）
6. スメルディス（紀元前521年）
1. アリアラムネス（英語版）
2. アルサメス（英語版）
1. ダレイオス1世（紀元前521年 - 紀元前486年）
2. クセルクセス1世（紀元前486年 - 紀元前465年）
3. アルタクセルクセス1世（紀元前464年 - 紀元前424年）
4. クセルクセス2世（紀元前424年 - 紀元前423年）
5. ソグディアノス（紀元前423年）
6. ダレイオス2世（紀元前422年 - 紀元前404年）
7. アルタクセルクセス2世（紀元前404年 - 紀元前343年）
8. アルタクセルクセス3世（紀元前343年 - 紀元前338年）
9. アルセス（紀元前338年 - 紀元前336年）
10. ダレイオス3世（紀元前336年 - 紀元前330年）
1. サッファーフ（750年 - 754年）
2. マンスール（754年 - 775年）- 首都バグダードを造営。
3. マフディー（775年 - 785年）
4. ハーディー（785年 - 786年）
5. ハールーン・アッ＝ラシード（786年 - 809年） - 最盛期を達成。
6. アミーン（809年 - 813年）
7. マアムーン（813年 - 833年） -?知恵の館を設立。
8. ムウタスィム（833年 - 842年）
9. ワースィク（842年 - 847年）
10. ムタワッキル（847年 - 861年）
11. ムンタスィル（861年 - 862年）
12. ムスタイーン（862年 - 866年）
13. ムウタッズ（866年 - 869年）
14. ムフタディー（869年 - 870年）
15. ムウタミド（870年 - 892年）
16. ムウタディド（892年 - 902年）
17. ムクタフィー（英語版）（902年 - 908年）
18. ムクタディル（908年 - 932年）
19. カーヒル（932年 - 934年）
20. ラーディー（934年 - 940年）
21. ムッタキー（940年 - 944年）
22. ムスタクフィー（944年 - 946年）
23. ムティー（946年 - 974年）
24. ターイー（974年 - 991年）
25. カーディル（991年 - 1031年）
26. カーイム（1031年 - 1075年）
27. ムクタディー（1075年 - 1094年）
28. ムスタズヒル（1094年 - 1118年）
29. ムスタルシド（1118年 - 1135年）
30. ラーシド（1135年 - 1136年）
31. ムクタフィー（1136年 - 1160年）
32. ムスタンジド（1160年 - 1170年）
33. ムスタディー（1170年 - 1180年）
34. ナースィル（1180年 - 1225年）
35. ザーヒル（1225年 - 1226年）
36. ムスタンスィル（1226年 - 1242年）
37. ムスタアスィム（1242年 - 1258年）
1. ムスタンスィル2世?（1261年?-?1262年）
2. ハーキム1世?（1262年?-?1302年）
3. ムスタクフィー1世?（1303年?-?1340年）
4. ワースィク1世(1340年?-?1341年）
5. ハーキム2世?（1341年?-?1352年）
6. ムゥタディド1世?（1352年?-?1362年）
7. ムタワッキル1世?（1362年?-?1383年）
8. ワースィク2世?（1383年?-?1386年）
9. ムウタスィム?（1386年?-?1389年）
10. ムタワッキル1世?（1389年?-?1406年）
11. ムスタイーン?（1406年?-?1414年）
12. ムウタディド2世?（1414年?-?1441年）
13. ムスタクフィー2世?（1441年?-?1451年）
14. カーイム?（1451年?-?1455年）
15. ムスタンジド?（1455年?-?1479年）
16. ムタワッキル2世?（1479年?-?1497年）
17. ムスタムスィク?（1497年?-?1508年）
18. ムタワッキル3世?（1508年?-?1517年）
1. ナーディル・シャー（1736年?-?1747年）
2. アーディル・シャー（1747年?-?1748年）
3. イブラーヒーム（1748年）
4. シャー・ルフ?（1748年?-?1750年）
5. スライマーン2世?（1750年）
6. シャー・ルフ （1750年 -?1796年、復位）
ジョージ・ワシントン
ジョン・アダムズ
トーマス・ジェファーソン
ジェームズ・マディソン
ジェームズ・モンロー
ジョン・クィンシー・アダムズ
アンドリュー・ジャクソン
マーティン・ヴァン・ビューレン
ウィリアム・ハリソン
ジョン・タイラー
ジェームズ・ポーク
ザカリー・テイラー
ミラード・フィルモア
フランクリン・ピアース
ジェームズ・ブキャナン
エイブラハム・リンカーン
アンドリュー・ジョンソン
ユリシーズ・グラント
ラザフォード・ヘイズ
ジェームズ・ガーフィールド
チェスター・A・アーサー
グロバー・クリーブランド
ベンジャミン・ハリソン
グロバー・クリーブランド
ウィリアム・マッキンリー
セオドア・ルーズベルト
ウィリアム・タフト
ウッドロウ・ウィルソン
ウォレン・ハーディング
カルビン・クーリッジ
ハーバート・フーヴァー
フランクリン・ルーズベルト
ハリー・S・トルーマン
ドワイト・D・アイゼンハワー
ジョン・F・ケネディ
リンドン・ジョンソン
リチャード・ニクソン
ジェラルド・R・フォード
ジミー・カーター
ロナルド・レーガン
ジョージ・H・W・ブッシュ
ビル・クリントン
ジョージ・W・ブッシュ
バラク・オバマ
ドナルド・トランプ
1. アルサケス1世?（紀元前247年頃 - 紀元前211年頃）
ティリダテス1世?（紀元前248年頃 - 紀元前211年頃）
2. アルサケス2世（アルタバノス） （紀元前211年頃 - 紀元前191年）
3. プリアパティオス?（紀元前191年 - 紀元前176年）
4. プラアテス1世?（紀元前176年 - 紀元前171年）
5. ミトラダテス1世?（紀元前171年 - 紀元前138年）
6. プラアテス2世?（紀元前139年/138年/137年 - 紀元前128年）
7. アルタバノス1世?（紀元前128年/127年 - 紀元前124年/123年）
8. ミトラダテス2世?（紀元前124年/123年 - 紀元前88年/87年）
9. ゴタルゼス1世?（紀元前91年 - 紀元前81年/80年）
10. オロデス1世?（紀元前80年 - 紀元前76年/75年）
11. シナトルケス?（紀元前76年/75年 - 紀元前70年/69年）
12. プラアテス3世?（紀元前70年/69年 - 紀元前58年/57年）
13. ミトラダテス3世?（紀元前58年/57年 - 紀元前55年）
14. オロデス2世?（紀元前57年頃 - 紀元前38年/36年）
15. プラアテス4世?（紀元前38年頃 - 紀元前2年）
ティリダテス2世?（紀元前30年頃 - 紀元前25年）
16. プラアテス5世（プラアタケス） （紀元前2年 - 紀元後4年）
ムサ?（紀元前2年 - 紀元後4年）…プラアテス5世の母であり妻
17. オロデス3世?（4年 - 6年/7年頃）
18. ヴォノネス1世?（7年/8年 - 12年）
19. アルタバノス2世?（12年 - 38年頃）
ティリダテス3世?（36年頃）
キンナムス?（37年頃）
20. ゴタルゼス2世?（38年頃 - 51年）
21. ヴァルダネス1世?（39年頃 - 47年/48年）
22. ヴォノネス2世?（51年頃）
23. ヴォロガセス1世?（51年/52年 - 79年/80年）
ヴァルダネス2世?（55年 - 58年）
ヴォロガセス2世?（77年 - 80年）
24. パコルス2世?（78年 - 115年/116年？）
アルタバノス3世?（80年 - 81年）
25. オスロエス1世?（109年/110年頃 - 128年/129年）
パルタマスパテス?（117年頃）
ヴォロガセス3世?（105年/106年？ - 147年）
ミトラダテス4世?（128年/129年？ - 147？年）
26. ヴォロガセス4世?（148年 - 192年）
オスロエス2世?（190年）
27. ヴォロガセス5世?（191年 - 207年/208年）
28. ヴォロガセス6世?（207年/208年 - 222年/223年）
29. アルタバノス4世?（213年頃 - 227年）
30. アルタヴァスデス?（227年頃 - 228年/229年？）
マルコ・ボエモン1世(1098年?-?1111年) (1100年?-?1103年捕虜) ターラント公
"タンクレード(摂政1100年 - 1103年,?1105年?-?1112年)"
ボエモン2世（英語版）(1111年 -?1130年)
サレルノ伯ロジェ（ルッジェーロ）(摂政1112年 -?1119年)
エルサレム王ボードゥアン2世(摂政1119年 -?1126年)
アリックス（女公）(Alice of Antioch) (1130年 - 1130?年)
エルサレム王ボードゥアン2世(1130?年 -?1131年)
エルサレム王フールク(1131年 -?1136年)
レーモン・ド・ポワティエ(1136年 -?1149年)
コンスタンス（女公）(1149年 -?1153年)
ルノー・ド・シャティヨン(1153年 - 1160/63年)
コンスタンスとボエモン3世（英語版）(1163年?-?1201年)
ボエモン4世（英語版）(1201年 -?1216年)
レーモン・ルーペン(1216年 -?1219年)
ボエモン4世（復位）(1219年 -?1233年)
ボエモン5世（英語版）(1233年 -?1251年)
ボエモン6世（英語版）(1251年 -?1268年)
ケネス1世
(Coinneach mac Ailpein)[3]
ドナルド1世
(D?mhnall mac Ailpein)
コンスタンティン1世
(C?iseam mac Choinnich)
エイ
(Aodh mac Choinnich)
ギリク
(Griogair mac Dhunghail)
ヨーカ
ドナルド2世
(D?mhnall mac Ch?iseim)
コンスタンティン2世
(C?iseam mac Aoidh)
マルカム1世
(Maol Chaluim mac Dh?mhnaill)
インダルフ[10]
ダフ
(Dubh or Duff)
(Dubh mac Mhaoil Chaluim)
カリン
(Cailean)
アムライフ
(Amhlaigh)
ケネス2世
(Coinneach mac Mhaoil Chaluim)
コンスタンティン3世
(C?iseam mac Chailein)
ケネス3世
(Coinneach mac Dhuibh)
マルカム2世
(Maol Chaluim mac Choinnich)
ダンカン1世
マクベス
ルーラッハ
マルカム3世
ドナルド3世
(D?mhnall mac Dhonnchaidh)
(Domnall mac Donnchada)
ダンカン2世
(Donnchadh mac Mhaoil Chaluim)
(Donnchad mac Ma?l Choluim)
エドガー
(Eagar mac Mhaoil Chaluim)
(?tgar mac Ma?l Choluim)
アレグザンダー1世
(Alasdair mac Mhaoil Chaluim)
(Alaxandair mac Ma?l Choluim)
デイヴィッド1世
(D?ibhidh mac Mhaoil Chaluim)
(Dab?d mac Ma?l Choluim)
マルカム4世
(Maol Chaluim mac Eanraig)
(M?el Coluim mac Eanric)
ウィリアム1世
(Uilleam mac Eanraig)
(Uilliam mac Eanric)
アレグザンダー2世
(Alasdair mac Uilleim)
(Alaxandair mac Uilliam)
アレグザンダー3世
(Alasdair mac Alasdair)
(Alaxandair mac Alaxandair)
マーガレット
ジョン・ベイリャル
ロバート1世
デイヴィッド2世
ロバート2世
ロバート3世?(born John Stewart)
ジェームズ2世
ジェームズ3世
ジェームズ4世
ジェームズ5世
メアリー1世
ジェームズ6世
チャールズ1世
チャールズ2世
チャールズ2世
ジェームズ7世
メアリー2世
